,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
244,223832351,18 07 44.924,-25 18 48.10,1,16.04,,,,18074492-2518481,STAR,JHK,,33.9,9.0,-44.2,9.0,,,,,,,,,,,,,13.312999999999999,0.031,12.512,0.031,12.18,0.028999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,10.7,0646-0659010
245,223832867,18 03 44.082,-25 18 45.08,1,9.15,88463.0,6846-529-1,324-126382,18034408-2518450,STAR,gri,,-0.03,1.13,-1.55,0.7,1.77,1.09,9.289,0.021,8.961,0.018000000000000002,9.8,0.03,9.091000000000001,0.04,8.871,0.06,8.169,0.026000000000000002,8.137,0.051,8.088,0.017,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,7.7,
246,223939767,18 13 18.398,-25 07 55.85,1,13.46,,,325-136869,18131839-2507558,STAR,JHK,,-11.4,3.3,5.5,3.3,,,,,,,,,,,,,10.950999999999999,0.024,10.227,0.022000000000000002,9.993,0.019,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.1,
247,223947031,18 15 44.147,-25 07 12.13,1,14.073,,,325-141848,18154415-2507121,STAR,BV,,6.6,3.3,-13.4,3.4,,,15.685,0.01,14.337,0.01,15.175,0.040999999999999995,,,,,12.175,0.026000000000000002,11.557,0.025,11.453,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.4,
248,223950272,18 14 53.858,-25 06 52.69,1,15.440999999999999,,,,18145385-2506526,STAR,JHK,,-336.0,58.0,192.0,48.0,,,,,,,,,,,,,13.235999999999999,0.035,12.716,0.038,12.392000000000001,0.034,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,5.2,0648-0690153
249,223956110,18 07 27.250,-25 06 16.53,1,8.545,,6846-885-1,325-130863,18072725-2506165,STAR,gri,,-1.0,1.6,-3.8,1.5,,,8.892000000000001,0.02,8.461,0.015,9.604,0.03,9.049,0.04,8.092,0.06,7.145,0.02,6.9670000000000005,0.02,6.856,0.024,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,8.0,
250,223977995,18 16 55.478,-25 04 02.70,1,14.282,,,325-144271,18165547-2504027,STAR,BV,,3.7,3.7,-5.2,3.8,,,15.88,0.05,14.543,0.04,,,,,,,12.116,0.036000000000000004,11.522,0.049,11.377,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.0,
251,223999125,18 07 28.371,-25 01 52.95,1,14.341,,,325-130885,18072837-2501527,STAR,JHK,,-0.6,3.9,-20.0,4.0,,,,,,,,,,,,,12.434000000000001,0.04,11.905999999999999,0.046,11.679,0.027000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,5.7,
252,224002626,18 13 47.362,-25 01 31.50,1,15.102,,,325-137781,18134738-2501312,STAR,JHK,,-51.0,13.0,27.0,6.6,,,,,,,,,,,,,12.363,0.038,11.511,0.039,11.225999999999999,0.038,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,5.0,
253,224013128,18 17 23.215,-25 00 26.11,1,14.747,,,325-145277,18172320-2500261,STAR,BV,,-4.5,5.2,-8.5,5.2,,,16.355,0.09,15.01,0.045,,,,,,,12.071,0.027999999999999997,11.334000000000001,0.027999999999999997,11.182,0.024,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.6,
254,224048262,17 55 54.307,-24 56 49.03,1,14.793,,,326-119075,,STAR,gri,,4.0,3.9,4.9,2.9,,,14.922,0.02,14.677999999999999,0.040999999999999995,14.732000000000001,0.038,14.814,0.053,15.007,0.09300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,224099259,18 19 35.133,-24 51 25.82,1,14.132,,,326-141463,18193513-2451257,STAR,JHK,,-12.2,8.6,-18.8,5.1,,,,,,,,,,,,,12.407,0.049,11.806,0.032,11.710999999999999,0.03,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-121-0c0-0-0,5.6,
256,224100869,18 13 28.105,-24 51 15.37,1,14.787,,,326-130140,18132811-2451154,STAR,JHK,,-8.3,4.0,8.8,4.0,,,,,,,,,,,,,12.167,0.039,11.335,0.031,11.069,0.031,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-00d-0-0,4.9,
257,224107457,18 13 22.549,-24 50 33.31,1,15.082,,,326-130027,18132255-2450333,STAR,JHK,,-5.0,4.5,-1.1,4.5,,,,,,,,,,,,,12.540999999999999,0.032,11.796,0.032,11.552999999999999,0.03,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,5.9,
258,224145736,17 53 28.440,-24 46 27.64,1,8.502,,6845-340-1,327-115812,17532843-2446277,STAR,gri,,-1.2,1.6,-0.2,1.5,,,9.293,0.022000000000000002,8.751,0.017,9.797,0.03,8.993,0.04,7.947,0.06,6.905,0.023,6.584,0.036000000000000004,6.178,0.018000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,9.6,
259,224177119,18 18 14.262,-24 43 02.15,1,13.232999999999999,,,327-132236,18181426-2443021,STAR,gri,,-3.0,4.6,4.6,4.7,,,15.195,0.03,13.741,0.02,14.625,0.037000000000000005,13.242,0.042,12.636,0.07,11.4,0.03,10.741,0.03,10.569,0.028999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-00d-0-0,6.3,
