EPIC,KepMag,Kmag,Teff,mass,Radius
220426717,12.513,11.249,6147,1.091,1.296
220426729,12.699,10.74,4940,1,3.608
220426736,13.809,12.229,5666,0.885,0.915
220426751,14.01,12.321,5453,0.862,0.851
220426823,16.432,14.675,5351,0.806,0.825
220426843,8.353,6.952,6734,1.942,3.466
220426850,13.724,11.954,5307,0.9,0.847
220426892,16.789,14.967,5139,0.809,8.749
220426939,17.244,14.863,,,
220426947,14.163,12.507,5424,0.791,0.769
220427064,16.513,15.002,,,
220427146,12.772,10.352,4655,0.973,9.862
220427147,14.312,11.982,4774,0.763,0.703
220427158,15.419,12.335,3704,0.339,0.315
220427165,14.4,13.09,6140,0.868,1.173
220427167,14.114,11.355,4044,0.534,0.463
220427176,17.557,,,,
220427311,17.539,,,,
220427321,16.785,15.419,,,
220427420,17.208,,,,
220427478,14.778,12.111,3889,0.311,0.284
220427502,18.841,,,,
220427536,13.026,11.566,5813,0.89,0.943
220427636,13.866,11.946,5215,0.879,0.828
220427670,12.251,10.905,5978,0.815,0.907
220427688,13.51,11.595,5179,0.888,4.331
220427702,12.537,11.254,6135,1.029,1.324
220427711,13.045,11.579,5799,1.004,1.055
220427716,18.465,14.767,3204,0.145,0.169
220427746,16.774,15.083,5180,0.805,3.155
220427847,12.249,10.371,5272,0.914,3.144
220427856,17.926,15.284,4395,0.543,0.486
220427863,15.582,12.624,3531,0.225,0.236
220427879,15.681,12.885,4228,0.578,0.521
220427931,15.882,12.968,4190,0.558,0.494
220427994,14.713,11.731,3844,0.464,0.411
220428023,15,11.959,3565,0.255,0.259
220428030,19.024,,,,
220428041,13.539,12.106,5806,0.917,0.979
220428085,12.295,10.817,6018,1.086,1.412
220428106,13.204,11.74,5821,1.03,1.169
220428165,11.13,9.689,5802,1.085,1.564
220428173,16.864,15.238,5418,0.771,0.759
220428188,13.45,11.86,5731,1.016,1.048
220428248,13.052,11.042,5010,0.901,2.65
220428335,16.98,14.912,5195,0.805,6.799
220428391,19.354,,,,
220428401,16.571,15.006,,,
220428459,14.466,12.559,5237,0.816,0.769
220428465,17.868,,,,
220428500,18.501,,,,
220428506,12.999,11.212,5440,0.908,0.869
220428533,13.83,10.787,3880,0.455,0.405
220428535,11.759,10.377,6008,1.074,1.312
220428555,14.446,10.936,3442,0.213,0.225
220428638,14.164,11.983,4833,0.81,0.762
220428644,13.032,11.776,6153,1.08,1.281
220428665,11.939,10.687,5993,1.087,1.309
220428701,17.579,,,,
220428708,15.884,12.957,4159,0.543,0.482
220428832,18.822,,,,
220428840,10.702,8.665,4847,1.062,5.127
220428842,17.51,15.168,,,
220428877,11.566,9.16,4590,0.998,10.782
220428885,13.861,10.283,3674,0.383,0.353
220428936,15.373,12.291,4011,0.53,0.471
220428960,11.148,9.83,6074,1.07,1.264
220428971,12.081,10.818,6173,1.1,1.336
220428989,12.405,10.514,5279,0.901,8.822
220428998,13.018,,,,
220429002,15.709,12.795,3968,0.448,0.402
220429008,13.111,11.563,5555,0.904,0.923
220429133,12.754,10.356,4587,0.74,0.67
220429140,14.033,12.339,5726,0.86,0.9
220429157,12.688,11.157,5861,1.042,1.303
220429193,9.504,8.168,5720,1.046,1.541
220429202,16.489,13.297,3612,0.277,0.268
220429208,16.071,14.614,,,
220429211,13.892,11.765,4690,0.678,0.635
220429217,5.507,,5057,0.787,0.731
220429228,12.046,10.121,5012,0.97,3.944
220429257,18.892,,,,
220429278,11.467,10.205,6129,1.16,1.392
220429301,12.618,10.604,4950,0.784,0.723
220429363,14.05,12.659,5779,0.968,1.006
220429407,14.052,12.083,4897,0.72,0.679
220429437,15.274,12.459,3996,0.498,0.441
220429444,13.411,11.994,5851,1.01,1.06
220429462,16.562,14.29,,,
220429484,15.437,12.689,4272,0.613,0.551
220429501,15.701,14.367,,,
220429510,14.355,13.032,6030,0.858,1.043
220429511,13.554,12.032,5741,0.972,1.003
220429537,14.605,13.347,5519,0.793,0.791
220429572,16.445,14.449,5251,0.667,0.637
220429595,9.773,7.733,4848,1.098,10.361
220429607,15.077,11.9,3795,0.418,0.379
220429629,17.152,14.865,3446,0.178,0.183
220429650,15.15,13.851,6001,0.86,1.032
220429663,17.649,15.167,4466,0.514,0.459
220429780,17.074,,,,
220429791,12.467,10.348,5043,0.909,3.107
220429793,17.631,15.209,4461,0.604,0.552
