EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
210476990,03 55 26.861,+15 01 03.54,1,10.626,,1249-74-1,526-007268,03552684+1501036,,STAR,gri,rpm,-0.1,3,4.7,3,,,12.317,0.248,11.033,0.084,,,11.952,0.03,10.582,0.09,10.058,0.06,,,8.364,0.026,7.59,0.021,7.389,0.02,4257,146,121,1.697,0.28,0.336,-0.192,0.2,0.28,24.916,10.376,6.275,1.211,0.314,0.224,6.93E-05,1.03E-04,4.60E-05,1267,483.5,299.2,0.421,0.146,0.195
210477101,03 52 57.077,+15 01 09.87,1,18.154,,,,03525707+1501098,6475-301-2-0128-0233,STAR,gri,rpm,65,4,-19,4,,,,,,,21.676,0.141,19.427,0.012,18.18,0.007,17.609,0.007,17.203,0.012,16.104,0.09,15.227,0.095,15.273,0.201,4277,553,116,4.956,0.05,0.12,-1.292,0.25,1.25,0.331,0.119,0.042,0.383,0.137,0.063,9.492,3.166,4.154,661.6,139.3,135.6,0.319,0.476,0.14
210477401,03 51 16.568,+15 01 29.19,1,17.476,,,,03511656+1501291,4843-301-2-0310-0135,STAR,gri,rpm,18,3,-47,3,,,,,,,19.882,0.037,18.366,0.007,17.474,0.006,17.094,0.006,16.837,0.01,15.778,0.062,15.118,0.083,15.05,0.12,4471,377,107,4.8,0.078,0.078,-0.965,0.3,0.36,0.467,0.066,0.058,0.528,0.051,0.061,4.763,1.782,1.108,849,146.2,147.4,0.197,0.202,0.09
210477428,04 13 45.042,+15 01 31.23,1,13.655,,,526-007996,04134504+1501311,,STAR,gri,rpm,12.3,3.3,-37,4,,,15.031,0.02,14.031,0.06,,,14.51,0.02,13.692,0.03,13.289,0.12,,,12.001,0.019,11.573,0.02,11.492,0.02,5550,185,231,4.499,0.065,0.117,-0.233,0.2,0.32,0.86,0.147,0.109,0.882,0.078,0.094,1.318,0.44,0.437,339.4,79.12,47.18,0.397,0.101,0.121
210477477,03 49 49.874,+15 01 34.19,1,12.003,,,526-007031,03494987+1501342,,STAR,gri,rpm,-29.8,1.2,-79.1,1.5,,,13.232,0.06,12.24,0.15,,,12.754,0.05,11.935,0.11,11.681,0.1,,,10.585,0.021,10.115,0.022,10.023,0.018,5242,253,211,4.578,0.072,0.045,-0.362,0.25,0.5,0.747,0.07,0.112,0.773,0.082,0.099,1.808,0.688,0.318,173.3,92.62,52,0.219,0.144,0.08
210477514,03 35 49.563,+15 01 36.17,1,13.368,,,526-006466,03354955+1501361,,STAR,gri,rpm,3.6,6,12.7,6,,,14.63,0.03,13.514,0.15,,,14.206,0.06,13.175,0.15,13.009,0.15,,,11.788,0.022,11.321,0.022,11.234,0.02,5318,287,191,4.564,0.041,0.861,0.055,0.12,0.44,0.833,1.751,0.099,0.928,0.241,0.093,1.603,0.602,1.52,292.6,614.2,43.74,0.343,0.139,0.167
210477601,03 35 43.093,+15 01 41.70,1,13.703,,,526-006461,03354308+1501417,,STAR,gri,rpm,15.2,2.9,-42.5,3.7,,,15.764,0.02,14.191,0.11,,,15.114,0.03,13.552,0.13,13.098,0.06,,,11.503,0.02,10.813,0.022,10.657,0.02,4125,195,162,4.787,0.065,0.065,-0.035,0.15,0.21,0.498,0.07,0.061,0.558,0.083,0.069,4.368,1.39,1.055,123.2,20.23,25.12,0.162,0.079,0.066
210477693,03 58 50.256,+15 01 47.58,1,12.968,,,526-007398,03585025+1501477,,STAR,gri,rpm,9.7,1.7,-7.7,1.7,,,14.08,0.02,13.174,0.02,,,13.612,0.04,12.865,0.01,12.691,0.25,,,11.425,0.021,11.065,0.022,10.931,0.017,6090,146,219,4.2,0.234,0.429,-0.063,0.12,0.18,1.261,1.075,0.266,1.121,0.338,0.106,0.428,0.54,0.344,422.7,393.2,88.48,0.509,0.096,0.134
210477718,03 53 46.388,+15 01 49.03,1,11.671,,,526-007205,03534639+1501490,,STAR,gri,rpm,-8.5,1.2,-0.1,1.5,,,13.239,0.06,12.014,0.14,,,12.662,0.05,11.632,0.12,11.246,0.08,,,9.822,0.024,9.236,0.022,9.097,0.017,4776,124,124,2.449,0.48,0.08,-0.28,0.2,0.28,10.583,0.809,4.357,1.168,0.245,0.175,9.80E-04,0.004,2.26E-04,1232,136.3,463.7,0.309,0.155,0.129
210477810,04 02 44.988,+15 01 55.16,1,12.848,,,526-007560,04024498+1501551,,STAR,gri,rpm,-2.2,2,-7.9,2,,,13.984,0.05,13.174,0.01,,,13.485,0.032,12.936,0.041,12.575,0.23,,,11.585,0.02,11.238,0.022,11.134,0.017,6042,288,180,4.169,0.19,0.266,-0.103,0.12,0.27,1.348,0.494,0.309,1.116,0.199,0.124,0.381,0.388,0.238,521,202.8,124.9,0.274,0.132,0.11
