EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
201488786,10 50 13.890,+00 21 15.63,1,9.201,,255-360-1,452-049162,10501389+0021156,,STAR,gri,6,1.2,-12.8,1.3,,,11.185,0.091,9.592,0.031,,,10.576,0.01,9.664,0.01,8.612,0.06,,,6.913,0.021,6.179,0.055,5.89,0.02,4545,2.153,-0.416,15.116,1.085,3.49E-04,479.8,0.028
201488792,10 50 39.780,+00 21 16.15,1,17.65,,,,10503977+0021161,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.143,0.113,15.425,0.106,,,,,,,,,,
201489183,10 50 31.820,+00 21 37.92,1,17.165,,,,10503181+0021379,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.692,0.105,15.199,0.094,14.481,0.113,3517,5.035,-0.085,0.222,0.223,15.64,310.5,0.03
201489217,10 54 08.246,+00 21 39.81,1,16.291,,,,10540824+0021398,,STAR,J,,,,,,,,,,,,,,,,,,,,,14.88,0.078,14.212,0.088,13.783,0.083,3725,4.955,-0.136,0.298,0.318,10.36,287.4,0.029
201489526,10 52 08.460,+00 21 57.91,1,11.38,,255-358-1,452-049204,10520846+0021577,,STAR,gri,-89.4,1.6,-69.4,1.6,,,11.789,0.092,11.529,0.122,,,11.769,0.01,11.339,0.01,11.213,0.01,,,10.326,0.027,10.015,0.023,9.961,0.024,5897,4.411,-0.606,0.933,0.834,0.98,197.4,0.029
201489732,10 53 17.596,+00 22 08.57,1,12.116,,,452-049239,10531759+0022085,,STAR,gri,-136.2,1.5,-6.5,2.7,,,12.898,0.04,12.254,0.03,,,12.521,0.01,12.079,0.02,11.943,0.02,,,11.056,0.024,10.724,0.024,10.669,0.024,5727,4.491,-0.672,0.827,0.792,1.359,184.5,0.029
201489850,10 53 21.495,+00 22 13.90,1,16.464,,,452-049241,10532149+0022138,,STAR,JHK,-17.9,3.9,21.7,4,,,,,,,,,,,,,,,,,14.421,0.034,13.767,0.037,13.625,0.038,4175,4.771,-0.095,0.509,0.567,4.129,467,0.033
201489882,10 52 08.835,+00 22 15.81,1,15.694,,,,10520883+0022158,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,13.502,0.027,12.901,0.023,12.662,0.027,3616,5,-0.057,0.268,0.282,12.62,135.3,0.023
201489888,10 50 36.808,+00 22 16.11,1,18.313,,,,10503680+0022161,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.818,0.096,15.146,0.105,14.868,0.16,3925,4.89,-0.26,0.345,0.382,7.768,596,0.032
201490042,10 53 03.378,+00 22 25.04,1,13.81,,,452-049232,10530337+0022250,,STAR,gri,10.7,2.2,-18.1,3.2,,,15.089,0.01,14.119,0.03,,,14.589,0.02,13.748,0.02,13.476,0.01,,,12.356,0.027,11.863,0.026,11.716,0.021,4868,4.613,-0.118,0.714,0.792,2.043,312.8,0.032
201490227,10 50 33.882,+00 22 35.54,1,17.981,,,,10503388+0022355,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.448,0.159,15.6,0.144,15.172,0.201,3790,4.938,-0.26,0.312,0.345,9.634,630.5,0.033
201490436,10 50 06.902,+00 22 45.93,1,14.487,,,452-049160,10500690+0022459,,STAR,gri,-9.5,4.5,-4.1,14.9,,,15.752,0.07,14.75,0.02,,,15.226,0.02,14.403,0.06,14.17,0.04,,,13.073,0.028,12.642,0.023,12.553,0.027,5096,4.561,-0.053,0.795,0.845,1.638,512.1,0.035
201490640,10 52 23.235,+00 22 55.95,1,15.013,,,452-049213,10522323+0022558,,STAR,gri,74.7,3.9,-75.1,8.2,,,15.721,0.01,15.132,0.01,,,15.381,0.03,15.019,0.05,14.855,0.01,,,13.955,0.027,13.605,0.029,13.623,0.045,5938,4.565,-2,0.71,0.701,1.868,809,0.036
201490730,10 50 33.367,+00 23 01.03,1,14.969,,,452-049168,10503336+0023008,,STAR,JHK,-70.3,3.3,7.7,3.3,,,,,,,,,,,,,,,,,12.747,0.025,12.148,0.027,11.898,0.026,3581,5.006,-0.025,0.264,0.273,13.7,92.7,0.019
201490978,10 53 12.936,+00 23 14.92,1,18.518,,,,10531293+0023149,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.944,0.186,15.87,0.155,15.005,0.162,3575,5.008,-0.185,0.247,0.239,14.45,532.4,0.033
201491347,10 51 32.447,+00 23 34.84,1,17.452,,,,10513244+0023348,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.959,0.086,15.337,0.122,14.654,0.125,3619,5.01,-0.165,0.253,0.252,13.21,384.1,0.031
