EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,float,float,float,float,float,float,float
248859241,10 53 28.505,+12 08 24.67,1,14.23,,,511-050925,10532853+1208246,3538-301-5-0303-0063,STAR,gri,-66,2,8,8,,,16.618,0.1,15.105,0.05,,,15.9,0.04,14.495,0.04,13.514,0.03,,,11.68,0.021,11.017,0.02,10.82,0.018,3626,4.975,0.024,0.297,0.309,11.24,64.84,0.012
248859282,11 01 03.665,+12 08 27.84,1,15.302,,,,11010366+1208278,3836-301-4-0112-0260,EXTENDED,gri,-2,3,2,3,,,,,,,17.949,0.024,16.155,0.003,15.337,0.003,14.936,0.003,14.619,0.006,14.788,0.091,13.977,0.113,13.792,0.087,,,,,,,,
248859302,10 42 08.286,+12 08 29.51,1,18.571,,,,10420828+1208295,3836-301-5-0081-0188,STAR,gri,8,4,-61,4,,,,,,,23.017,0.47,20.129,0.021,18.745,0.01,17.904,0.008,17.402,0.014,16.134,0.099,15.562,0.125,15.353,0.146,3646,5.017,-0.115,0.262,0.268,14.13,425.1,0.03
248859322,10 48 28.669,+12 08 31.35,1,16.147,,,,10482866+1208313,3538-301-5-0295-0150,EXTENDED,gri,0,3,-3,3,,,,,,,18.614,0.023,16.85,0.004,16.182,0.004,15.846,0.004,15.634,0.008,15.088,0.048,14.442,0.058,14.001,0.063,,,,,,,,
248859334,10 29 53.576,+12 08 31.98,1,14.456,,,511-050363,10295357+1208322,3631-301-1-0272-0092,STAR,gri,-11.7,1.9,-7.2,2.1,,,15.947,0.03,14.816,0.03,,,15.38,0.05,14.357,0.07,14.061,0.05,,,12.787,0.021,12.243,0.023,12.105,0.018,4609,4.67,-0.237,0.624,0.68,2.662,311.7,0.03
248859349,10 34 59.450,+12 08 33.03,1,19.174,,,,,3538-301-6-0273-0221,STAR,gri,-3,3,-7,3,,,,,,,19.432,0.027,19.214,0.01,19.16,0.013,18.934,0.016,19.021,0.055,,,,,,,,,,,,,,
248859365,10 48 35.988,+12 08 34.66,1,10.478,,849-361-1,511-050810,10483599+1208345,,STAR,gri,-72.6,1.8,35.9,1.7,,,11.327,0.069,10.856,0.07,,,10.912,0.05,10.486,0.03,10.292,0.04,,,9.482,0.021,9.137,0.02,9.065,0.017,5760,4.431,-0.301,0.977,0.941,0.999,141.5,0.023
248859388,10 43 29.422,+12 08 36.55,1,19.248,,,,,3836-301-5-0083-0107,STAR,gri,3,3,2,3,,,,,,,19.902,0.039,19.427,0.013,19.188,0.013,18.865,0.015,18.713,0.037,,,,,,,,,,,,,,
248859409,10 38 47.423,+12 08 38.67,1,15.092,,,511-050563,10384745+1208387,3836-301-5-0076-0014,EXTENDED,gri,-8.9,5.7,1.8,5.5,,,16.298,0.08,15.482,0.03,,,15.866,0.04,15.204,0.05,14.761,0.01,,,14.248,0.062,13.529,0.087,13.344,0.068,,,,,,,,
248859425,10 32 36.970,+12 08 40.31,1,11.69,,841-48-1,511-050415,10323697+1208403,,STAR,gri,-14.5,2,19.6,2.1,,,12.14,0.141,11.945,0.167,,,11.988,0.09,11.669,0.04,11.563,0.02,,,10.754,0.022,10.518,0.016,10.495,0.017,6222,4.203,-0.135,1.353,1.162,0.408,381.6,0.03
