EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
228772963,17.148,14.030,3371,0.151,0.176
228772970,14.933,11.621,3565,0.234,0.239
228772973,15.567,12.656,3682,0.348,0.327
228772975,15.438,12.397,4037,0.506,0.446
228773036,15.703,14.081,5369,0.850,0.891
228773135,13.229,11.838,5916,0.970,1.069
228773163,13.667,12.049,5895,0.973,1.105
228773219,12.684,11.237,5965,0.906,1.082
228773239,13.239,11.574,5642,0.862,0.860
228773242,16.105,,,,
228773245,17.231,14.582,3825,0.382,0.343
228773295,12.216,10.890,6272,1.075,1.291
228773298,17.475,14.512,,,
228773305,12.169,9.051,4015,0.951,50.589
228773370,17.001,,,,
228773391,16.751,14.666,3806,0.246,0.243
228773399,13.945,11.470,4591,0.737,0.668
228773406,13.747,12.481,6041,0.873,1.063
228773425,15.309,13.446,5117,0.863,0.829
228773435,15.044,13.339,5517,0.801,0.834
228773437,13.492,12.120,6210,1.119,1.358
228773442,13.693,11.488,4701,0.971,8.591
228773470,16.198,12.729,3643,0.295,0.282
228773516,16.363,13.471,4057,0.501,0.441
228773530,13.184,10.726,4511,0.842,28.607
228773570,17.396,15.168,3653,0.254,0.248
228773584,13.113,11.815,6064,1.063,1.290
228773585,11.812,10.448,6100,1.090,1.323
228773609,16.469,13.091,3548,0.255,0.259
228773623,15.289,13.537,5346,0.761,0.740
228773694,15.412,11.933,,,
228773697,15.862,12.852,3935,0.450,0.404
228773756,14.700,11.566,3737,0.361,0.328
228773782,12.885,11.250,5892,0.952,1.027
228773790,15.764,12.684,3466,0.194,0.209
228773807,18.193,,,,
228773827,15.788,13.557,4618,0.735,0.677
228773841,17.006,,,,
228773844,13.595,11.782,5148,0.870,2.456
228773845,16.284,12.635,3686,0.343,0.314
228773854,16.475,13.900,,,
228773865,14.996,12.451,4434,0.680,0.617
228773901,13.551,11.878,5508,0.912,0.890
228773928,15.611,12.772,3521,0.206,0.223
228773968,14.906,12.481,4432,0.555,0.499
228773980,13.734,11.865,5245,0.908,0.879
228773982,14.618,12.393,4727,0.745,0.684
228773987,14.964,13.090,5323,0.851,0.807
228773998,10.083,8.437,5147,1.275,3.453
228774000,15.002,12.915,4905,0.859,3.132
228774006,14.860,11.845,3438,0.179,0.197
228774043,15.267,11.996,4130,0.550,0.487
228774060,9.987,8.446,5464,1.248,2.351
228774068,16.879,14.833,5075,0.809,11.174
228774076,16.697,14.197,,,
228774097,12.636,11.058,5832,0.939,1.010
228774111,16.816,15.159,5294,0.678,0.652
228774115,13.980,12.560,5993,0.970,1.168
228774180,14.009,12.549,5849,0.904,1.028
228774191,12.795,11.192,5606,0.968,0.955
228774193,15.609,14.156,6062,0.856,1.086
228774226,13.493,11.609,5077,0.801,0.750
228774244,14.142,12.156,5008,0.887,5.359
228774248,12.808,11.222,5843,0.922,1.006
228774249,16.057,14.135,,,
228774279,16.454,14.629,5198,0.804,1.316
228774281,13.427,12.048,5812,0.891,0.955
228774283,15.888,14.037,5209,0.828,0.793
228774323,15.608,15.211,6096,0.846,1.066
228774328,14.765,12.430,4512,0.718,0.652
228774330,11.261,9.090,4665,0.946,11.806
228774360,10.624,9.445,6267,1.171,1.280
228774437,8.952,6.968,4540,1.327,11.604
228774466,15.789,13.976,,,
228774468,15.437,12.033,3589,0.288,0.281
228774483,14.977,11.915,3471,0.199,0.212
228774524,15.659,13.726,,,
228774536,16.411,,,,
228774539,16.920,14.392,3918,0.424,0.375
228774587,17.456,15.314,4463,0.371,0.322
228774590,13.676,10.370,4476,0.907,7.863
228774603,13.154,11.135,5336,0.946,0.922
228774631,13.882,12.543,6235,1.021,1.257
228774663,14.176,12.400,5493,0.844,0.848
228774669,15.124,11.950,3601,0.272,0.270
228774685,13.512,11.871,5643,0.978,0.984
228774725,13.600,11.349,4678,0.736,0.675
228774727,16.153,13.031,3448,0.208,0.219
228774822,15.686,12.241,3582,0.249,0.253
228774824,15.644,14.771,6000,0.765,0.831
228774856,15.781,,,,
228774885,16.739,,,,
