EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
211490827,09 09 21.381,+13 00 24.44,1,13.854,,,516-050179,09092137+1300244,,STAR,gri,lam,-17.2,3.3,1.9,3.7,,,15.152,0.09,14.239,0.14,,,14.742,0.25,13.77,0.02,13.474,0.02,,,12.248,0.025,11.724,0.03,11.607,0.021,4715,142,142,4.648,0.03,0.03,-0.154,0.15,0.15,0.665,0.046,0.036,0.723,0.043,0.043,2.395,0.355,0.309,264,24.8,26.97,0.027,0.008,0.005
211490999,08 43 11.723,+13 00 34.53,1,13.416,,,516-049094,08431171+1300345,,STAR,gri,rpm,4.3,1.8,-39.1,2.3,,,14.318,0.02,13.604,0.01,,,13.905,0.01,13.379,0.02,13.206,0.01,,,12.302,0.024,11.918,0.029,11.87,0.025,5592,111,134,4.509,0.045,0.045,-0.287,0.12,0.45,0.844,0.073,0.088,0.855,0.062,0.1,1.353,0.335,0.228,424.1,45.22,40.86,0.033,0.005,0.006
211491048,08 45 37.911,+13 00 37.54,1,14.05,,,516-049203,08453791+1300376,5194-301-2-0119-0015,STAR,gri,rpm,-9.2,3.4,-4.5,3.1,,,16.15,0.05,14.719,0.04,,,15.485,0.01,14.134,0.03,13.435,0.03,,,11.876,0.021,11.228,0.024,11.038,0.018,4087,265,265,4.783,0.09,0.075,0.007,0.1,0.22,0.496,0.087,0.1,0.577,0.096,0.134,4.338,2.474,1.392,144.1,40.17,44.45,0.02,0.008,0.007
211491053,09 03 01.959,+13 00 37.69,1,17.832,,,,09030195+1300376,5935-301-3-0129-0196,STAR,gri,rpm,-29,3,-48,3,,,,,,,23.262,0.476,19.941,0.016,18.384,0.008,16.928,0.005,16.118,0.007,14.76,0.036,14.146,0.039,13.886,0.045,3391,102,164,5.151,0.02,0.02,-0.269,0.33,0.12,0.17,0.01,0.006,0.149,0.016,0.004,29.92,2.511,2.758,131.9,15.41,5.703,0.024,0.01,0.01
211491057,08 41 00.223,+13 00 37.88,1,15.686,,,516-048986,08410022+1300378,,STAR,gri,rpm,2.4,3.5,-5.6,3.6,,,16.444,0.08,15.497,0.01,,,15.904,0.05,15.613,0.87,14.931,0.09,,,13.805,0.029,13.314,0.036,13.224,0.027,5043,197,197,4.575,0.045,1.224,-0.238,0.25,0.5,0.773,2.655,0.085,0.82,0.094,0.078,1.719,0.455,1.698,692.6,2278,92.14,0.034,0.01,0.007
211491069,08 39 54.186,+13 00 38.54,1,15.165,,,516-048918,08395419+1300385,,STAR,gri,rpm,-5.1,3.1,-1,1.4,,,15.88,0.04,14.987,0.02,,,15.32,0.06,15.114,0.87,14.347,0.11,,,13.226,0.021,12.686,0.024,12.599,0.023,4851,145,116,4.554,0.084,1.89,-0.282,0.25,0.35,0.792,6.429,0.128,0.82,0.155,0.097,1.616,0.731,1.614,548.4,3924,124.3,0.033,0.008,0.007
211491162,09 02 25.712,+13 00 43.20,1,16.661,,,,09022571+1300432,,STAR,J,rpm,6,2,4,5,,,,,,,,,,,,,,,,,15.223,0.058,14.51,0.068,13.909,0.055,3562,140,140,5.021,0.06,0.06,-0.02,0.15,0.15,0.254,0.058,0.056,0.259,0.083,0.069,14.19,7.288,4.145,266.5,97.68,61.06,0.028,0.01,0.007
211491354,08 44 39.363,+13 00 51.62,1,17.789,,,,08443936+1300516,5194-301-2-0117-0328,EXTENDED,gri,,2,5,14,5,,,,,,,20.994,0.137,18.919,0.012,17.791,0.008,17.305,0.007,16.923,0.016,16.413,0.139,15.685,0.16,15.186,0.131,,,,,,,,,,,,,,,,,,,,,,,,
211491368,09 06 41.781,+13 00 52.17,1,17.144,,,,09064178+1300521,6004-301-6-0141-0235,EXTENDED,gri,,-3,3,-2,3,,,,,,,20.03,0.088,18.222,0.009,17.208,0.006,16.682,0.006,16.27,0.011,15.813,0.09,15.018,0.118,14.357,0.076,,,,,,,,,,,,,,,,,,,,,,,,
211491383,08 40 37.240,+13 00 52.83,1,11.785,,805-136-1,516-048961,08403726+1300527,,STAR,gri,rpm,-25,2.2,0.1,2.2,,,12.366,0.249,11.784,0.204,,,11.618,0.05,11.84,0.88,11.254,0.08,,,10.541,0.021,10.29,0.022,10.212,0.022,6148,184,184,4.228,0.15,0.21,-0.09,0.15,0.24,1.308,0.332,0.225,1.135,0.118,0.142,0.429,0.299,0.202,329.6,100.1,65.37,0.029,0.008,0.008
