206210264,22 32 18.881,-09 35 41.62,1,16.947,,,403-137562,22321885-0935415,2576-301-2-0111-0139,STAR,BV,rpm,1.2,5,-10.9,4.8,,,17.403,0.15,16.986,0.099,,,,,,,,,,,16.118,0.077,15.452,0.109,15.344,0.171,4080,565,353,4.823,0.14,0.14,-0.218,0.25,0.4,0.448,0.151,0.15,0.481,0.14,0.168,5.254,5.825,2.432,849.6,493.8,312.3,0.043,0.018,0.009,AAC-222-111-000-0-0,,
206210269,22 40 38.367,-09 35 41.23,1,17.544,,,,22403836-0935412,1659-301-2-0234-0014,STAR,gri,rpm,50,4,-34,4,,,,,,,18,0.013,17.511,0.005,17.555,0.006,17.143,0.006,16.562,0.009,15.261,0.041,14.688,0.057,14.33,0.087,4219,118,67,4.96,0.045,0.072,-0.921,0.25,0.25,0.329,0.068,0.036,0.365,0.086,0.039,10.14,2.479,2.994,435.2,113.7,47.68,0.04,0.016,0.01,AAA-222-111-000-0-0,,
206210349,22 48 12.470,-09 35 36.79,1,13.576,,,403-138033,22481246-0935367,,STAR,gri,rpm,5.2,2.1,-0.8,1.7,,,14.72,0.04,13.91,0.03,,,14.303,0.03,13.552,0.2,13.264,0.14,,,12.315,0.021,11.834,0.022,11.728,0.023,5026,121,100,2.682,0.738,0.41,-0.76,0.48,0.4,6.047,4.997,3.338,0.911,0.076,0.038,0.003,0.026,0.002,2647,1718,1397,0.043,0.018,0.008,AAA-222-111-000-0-0,,
206210417,22 52 30.282,-09 35 32.23,1,16.385,,,403-138163,22523027-0935322,2576-301-3-0144-0242,STAR,JHK,rpm,29.6,7.1,-0.9,7.6,,,,,,,,,,,,,,,,,14.071,0.033,13.436,0.031,13.193,0.034,3811,221,184,4.91,0.096,0.08,-0.041,0.15,0.21,0.347,0.093,0.073,0.379,0.102,0.102,8.4,4.67,3.001,236.7,71.05,63.96,0.037,0.014,0.009,AAA-222-111-000-0-0,,
206210463,22 35 04.864,-09 35 29.91,1,16.672,,,,22350486-0935299,1659-301-2-0224-0172,EXTENDED,gri,,-14,3,5,3,,,,,,,19.273,0.07,17.672,0.01,16.756,0.006,16.243,0.006,15.803,0.012,15.518,0.104,14.823,0.118,14.112,0.106,,,,,,,,,,,,,,,,,,,,,,,,,ABA-222-111-000-0-0,6.3,
206210468,22 10 18.015,-09 35 29.81,1,16.089,,,403-136812,22101801-0935295,2576-301-1-0075-0200,STAR,JHK,rpm,-5.8,2.9,-16.6,3,,,,,,,,,,,,,,,,,13.944,0.031,13.282,0.031,13.118,0.032,4180,279,232,4.762,0.09,0.09,-0.046,0.16,0.24,0.508,0.097,0.096,0.58,0.094,0.113,4.058,2.344,1.283,375.6,112.8,101.5,0.042,0.016,0.009,AAA-222-111-000-0-0,,
206210489,22 53 21.875,-09 35 28.69,1,15.784,,,403-138203,22532186-0935289,2576-301-3-0146-0115,STAR,JHK,rpm,36.5,4.3,16.4,4.7,,,,,,,,,,,,,,,,,13.35,0.026,12.619,0.027,12.429,0.026,4128,121,121,4.778,0.048,0.04,0.012,0.15,0.21,0.51,0.045,0.057,0.575,0.046,0.064,4.198,1.039,0.706,277.8,33.18,40.59,0.041,0.018,0.012,AAA-222-111-000-0-0,,
206210511,22 35 12.336,-09 35 27.25,1,17.449,,,,,1659-301-2-0225-0094,EXTENDED,gri,,9,3,-10,3,,,,,,,18.637,0.042,17.649,0.009,17.382,0.009,17.179,0.011,17.056,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206210647,22 55 58.139,-09 35 19.98,1,13.407,,,403-138278,22555813-0935197,2576-301-3-0150-0007,STAR,JHK,rav,,,,,,,,,,,,,,,,,,,,,11.38,0.024,10.819,0.025,10.589,0.023,3772,338,135,5.08,0.05,0.14,-0.53,0.06,0.09,0.221,0.128,0.029,0.209,0.176,0.034,19.45,5.606,10.35,41.43,35.01,8.141,0.019,0.005,0.012,AAA-222-111-000-0-0,,
206210679,22 53 26.688,-09 35 18.19,1,17.522,,,,22532668-0935181,2576-301-3-0146-0216,EXTENDED,gri,,,,,,,,,,,,21.518,0.327,18.907,0.016,17.86,0.01,16.928,0.007,16.198,0.013,15.666,0.069,14.998,0.079,14.563,0.088,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,27.4,
